,0,1,2,3
"(36, {'prob': 1})",-7.9559784579028925,-44.328692138457875,-8.154395513610769,-8.375040056429233
24,-7.719694277896839,-7.72333450039568,-8.45279283524715,-7.775666482619398
36,-7.935709752848588,-40.9642025268422,-8.99950727582373,-8.162925004806642
25,-7.3872652237801795,-7.869453975009798,-27.35418433184368,-7.386992818320687
12,-7.4903917007975345,-7.465600957369373,-7.553563606347579,-7.5118977055447065
13,-7.231603209387812,-7.182835357915586,-7.31748388926667,-7.297570059146574
14,-6.904952733360416,-6.868277624071907,-7.1140194120929925,-7.018435847996837
2,-6.838336327521368,-6.836521099825119,-6.839019685069084,-6.840162327027659
0,-7.307668060576755,-7.304916857610896,-7.307187088265171,-7.305961699485415
1,-7.09851368409898,-7.0966777059439305,-7.097958455683859,-7.100450992783408
26,-6.756314661078896,-6.755321356126498,-31.405060397524238,-6.899572679639255
15,-6.603895326672429,-6.519419114600795,-6.661703683863539,-6.688212684460254
16,-6.239588440986444,-6.1328245797311265,-6.4562463319519985,-6.325094622022062
17,-5.822492327404564,-5.702722259013391,-5.736811146235638,-5.851043166437271
18,-5.35848870515575,-5.224729060368434,-5.241567739384519,-5.424423602626933
5,-5.857454753668881,-5.8503439418423,-5.852329457030212,-5.863438869076656
6,-5.450092931305464,-5.443440606228798,-5.445760656445842,-5.4506368233516165
7,-4.99832028197111,-4.996931155203279,-4.996938608524255,-5.00469606476946
19,-4.86410112895702,-4.692253768325803,-4.719961223234083,-4.982965686680718
20,-4.3003862212033725,-4.100809823040535,-4.199155776787074,-4.363194093283911
8,-4.506701626424901,-4.503917859292667,-4.503589781566368,-4.50880197624096
9,-3.9616722686765566,-3.959131996963985,-3.958485525464655,-3.9674649696053184
32,-3.6931930087186005,-3.4828817743266605,-18.41027832164554,-3.8815235203577663
31,-4.390338340231631,-4.212406840771209,-20.081284426875623,-4.385864857812629
3,-6.548119636779623,-6.544043878147821,-6.546644794727411,-6.546135889661791
4,-6.2238126048105515,-6.2169029012525545,-6.218690965074207,-6.216654113989863
29,-5.519716555047298,-5.377005783714669,-19.35104431215884,-5.527007246616147
28,-6.128256659866404,-6.108490182927521,-24.467133688309556,-6.131424666563148
27,-6.531387917290331,-6.523521881556277,-17.69667104847469,-6.5328524468082225
30,-5.009162026043679,-4.7852358200872676,-15.674623012451558,-5.008917082948198
33,-2.927753595993647,-2.7153096266971093,-17.48371886439063,-2.9573169367424637
10,-3.368545381041628,-3.3598680246066417,-3.3599030210547127,-3.3627637331511906
21,-3.7033551737125068,-3.443388813470994,-3.543093588463323,-3.721668785737743
22,-3.001466284532032,-2.712911167504153,-2.747564325923274,-3.1073545467945576
11,-2.7104171392514065,-2.7169886474053153,-2.7047423987885884,-2.719774092810813
23,-2.3738930595005434,-2.109996939756973,-1.9015500550289168,-2.3220415554590326
34,-2.0378252997945907,-1.9068066334531943,-18.385698561482688,-2.0594917225820364
35,-1.5810879859043783,-1.2750685481621198,-0.9999999999999944,-1.6418673070045613
47,0.0,0.0,0.0,0.0
