flow_pktlen,label
"[-61, 392, -20, -400, 20, 183, -20, -158, 20, -61, 393, -20, -624, 20, -61, 393, -20, -624, 20, 425, -20, -110, 393, -400, 20, -61, 393, -1444, -80, 20, 183, -20, -174, 20, -61, 393, -20, -61, -1120, 20, 392, -20, -400, 20, -61, 392, -20, -624, 20, -61, 392, -656, 20, -61, 393, -688, 20, -61, 393, -688, 20, 167, -20, -174, 20, -61, 392, -20, -704, 20, -61, 393, -20, -1444, -32, 20, 167, -20, -158, 20, 183, -20, -158, 20, 151, -20, -174, 20, 167, -20, -174, 20, -61, 393, -20, -656, 20, -61, 393, -656, 20, 199, -20, -174, 20, 425, -20, -110, 393, -20, -2868, -32, 20, -61, 392, -20, -736, 20, -61, 393, -624, 20, -61, 393, -656, 20, -61, 393, -20, -1264, 20, -61, 393, -20, -784, 20, -61, 393, -20, -4292, -176, 20, -61, 393, -20, -624, 20, 199, -20, -174, 20, -61, 393, -20, -688, 20, -61, 393, -20, -1444, -848, 20, 183, -20, -174, 20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 756, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 794, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 811, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 835, -20, -332, -20, 20, 20, -20]",chat
"[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 767, -20, -4280, -859, -20, 20, 20, -20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 835, -20, -332, -20, 20, 20, -20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 919, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 723, -20, -830, -20, 20, 20, -20]",chat
"[32, -32, 20, 421, -20, -2940, -1196, -2940, -1196, 20, -1480, -1480, -1480, 20, -1480, -1480, -912, 20, -1480, -1480, -1196, -2940, -1196, -2940, -1196, -2940, -1196, -2940, -1196, -1480, 20, -1480, -1196, 20, -2940, -1196, -4400, 20, -1480, -1480, -1480, -1480, -1480, 20, -17540, 20, -21920, 20, -11700, 20, -1480, -1480, 20, -21920, 20, -11700, 20, -1480, 20, -1480, -4400, 20, -1480, -1480, -1480, -17540, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -19000, 20, -20460, 20, -1480, 20, -21920, 20, -21920, 20, -17540, 20, -4400, 20, -1480, 20, -21920, 20, -7320, 20, -21920, 20, -13160, 20, -1480, -1480, -1480, -11700, 20, -21920, 20, -21920, 20, -20460, 20, -5860, 20, -21920, 20, -21920, 20, -21920, 20, -1480, -8780, 20, -1480, -1480, -1480, 20, -4400, 20, -1480, -1480, -1480, -19000, 20, -5860, 20, -1480, -1480, -1480, -19000, 20, -14620, 20, -21, 32, -5860, 20, -21920, 20, -21920, 20, -21920, 20, -17540, 20, -2940, 20, -21920, 20, -21920, 20, -4400, 20, -1480, -1480, -1480, -19000, 20, -11700, 20, -17540, 20, -21920, 20, -21920, 20, -1480, 20, -21920, 20, -21920, 20, -1480, -11700, 20, -1480, -1480, -1480, -19000, 20, -11700, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -19000, 20, -11700, 20, -1480, -1480, -1480, -4400, 20, -1480, 20, -8780, 20, -1480, -1480, -1480, -19000, 20, -16080, 20, -21920, 20, -4400, 20, -19000, 20, -13160, 20, -21920, 20, -16080, 20, -21920, 20, -1480, -1480, -1480, -19000, 20, -2940, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -1480, -1480, -1480, -14620, 20, -11700, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -19000, 20, -23380, 20, -7320, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -8780, 20, 20, -1480, -1480, -1480, -13160, 20, -1480, 20, 20, -20460, 20, -20460, 20, -2940, 20, -2940, 20, -21920, 20, -5860, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, -20460, 20, -23380, 20, -17540, 20, -5860, 20, 20, -20460, 20, -20460, 20, -2940, 20, 20, -17540, 20, 20, -20460, 20, -20460, 20, -2940, 20, -17540, 20, -20460, 20, -4400, 20, -21, 32, -11700, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, 20, -1480, -1480, -20460, 20, -23380, 20, -23380, 20, -5860, 20, -8780, 20, -21920, 20, 20, -20460, 20, 20, -21920, 20, -21920, 20, -16080, 20, -21920, 20, -21920, 20, -21920, 20, -8780, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -14620, 20, -21, 32, -11700, 20, -21920, 20, -11700, 20, -21920, 20, -21920, 20, -8780, 20, -21920, 20, -21920, 20, -21920, 20, -8780, 20, -1480, -21920, 20, -23380, 20, -7320, 20, -1480, -1480, -1480, 20, -1480, -1480, -1480, -19000, 20, -23380, 20, -23380, 20, -5860, 20, -5860, 20, 20, 20, -21, 32, -11700, 20, -21920, 20, -21920, 20, -21920, 20, -4400, 20, -1480, -1480, -20460, 20, -23380, 20, -8780, 20, -17540, 20, -21920, 20, -11700, 20, 20, -1480, -21920, 20, -23380, 20, -23380, 20, -23380, 20, -1480, -1480, -1480, -19000, 20, -23380, 20, -5860, 20, -1480, -1480, -1480, -4400, 20, -1480, -1480, -1480, -19000, 20, -1480, -1480, 20, 20, -21920, 20, -21920, 20, -20460, 20, -21920, 20, -21920, 20, -13160, -1435, 20, 20, -20, 20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 837, -20, -332, -20, 20, 20, -20]",chat
"[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]",chat
"[151, -20, -158, 20, 167, -20, -158, 20, 167, -20, -61, 393, -20, -174, -656, 20, 167, -20, -174, 20, 167, -20, -174, 20, 1225, -20, -304, 20, 425, -20, -110, 393, -20, -400, 20, -61, 393, -400, 20, -61, 393, -1444, -1444, -1444, -209, 20, 166, -20, -158, 20, -61, 393, -20, -624, 20, -61, 393, -20, -624, 20, -61, 393, -20, -640, 20, -61, 393, -624, 20, -61, 393, -640, 20, -61, 393, 167, -20, -624, 20, -174, 20, -99, 20, -99, 20, -99, 20, -61, 393, -672, 20, -99, 20, -61, 392, -640, 20, 167, -20, -174, 20, -99, 20, -99, 20, 151, -20, -158, 20]",chat
"[32, -32, 20, 681, -20, -412, -20, 20, 20, -20]",chat
"[32, -32, 20, 691, -20, -542, -20, 20, 20, -20]",chat
"[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 739, -20, -1151, -20, 20, 20, -20]",chat
"[32, -32, 20, 747, -20, -798, -20, 20, 20, -20]",chat
"[32, -24, 20, 537, -20, -3920, -537, 20, 146, -71, 229, -1320, -2620, -1152, 20, 20, 51, 20, -20, -20, -20, 20]",chat
"[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 1440, 1440, 1440, 1440, 344, -20, -20, -20, -20, -20, -332, -20, 20, 20, -20]",chat
"[32, -32, 20, 749, -20, -1295, -20, 20, 20, -20]",chat
"[32, -32, 20, 743, -20, -717, -20, 20, 20, -20]",chat
"[32, -32, 20, 1440, 1440, 1440, 483, -20, -20, -20, -20, -1440, -35, -20, 20, 20, -20]",chat
"[32, -32, 20, 763, -20, -9960, 20, -701, 20, 20, -20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 745, -20, -348, -20, 20, 20, -20]",chat
"[151, -20, -174, 20, -61, 393, -20, -864, 20, -61, 393, -20, -640, 20, 151, -20, -174, 20, 265, -20, -174, 20, 183, -20, -174, 20, 425, -20, -110, 393, -1444, -1104, 20, 215, -20, -174, 20, -61, 393, -20, -1444, -1360, 20, -61, 392, -20, -720, 20, -61, 393, -20, -640, 20, -61, 393, -400, 20, -61, 393, -656, 20, 182, -20, -174, 20, -61, 393, -20, -624, 20, 183, -20, -174, 20, -61, 393, -20, -624, 20, 425, -20, -110, 20, 199, -20, -174, 20, -61, 393, -20, -400, 20, -61, 392, -20, -624, 20, -61, 393, -20, -1232, 20, -61, 393, -624, 20, -61, 393, -640, 20, -61, 393, -656, 20, -61, 393, -720, 20, -61, 393, -672, 20, -61, 393, -640, 20, -61, 393, -640, 20, 167, -20, -174, 20, 182, -20, -174, 20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 836, -20, -332, -20, 20, 20, -20]",chat
"[32, -32, 20, 773, -20, -2860, -1207, -20, 20, 20, -20]",chat
"[32, -32, 20, 767, -20, -4280, -732, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 981, -20, -574, -20, 20, 20, -20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 991, -20, -1440, -339, -20, 20, 20, -20]",chat
"[32, -32, 20, 836, -20, -332, -20, 20, 20, -20]",chat
"[32, 32, -32, 20, 806, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 817, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 813, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 750, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 811, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 831, -20, -332, -20, 20, 20, -20]",chat
"[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]",chat
"[166, -20, -158, 20, -61, 393, -20, -1444, -1280, 20, 166, -20, -158, 20, -61, 393, -20, -688, 20, -61, 393, -20, -672, 20, -61, 393, 183, -656, 20, -20, -158, 20, 425, -20, -110, 393, -20, -400, 20, 167, -20, -158, 20, -61, 393, -20, -640, 20, 183, -20, -174, 20, 167, -20, -174, 20, 183, -20, -158, 20, 150, -20, -158, 20, -61, 393, -20, -1344, 20, 151, -20, -158, 20, 183, -20, -158, 20, -61, 392, -20, -1444, -1232, 20, 167, -20, -158, 20]",chat
"[32, -32, 20, 773, -20, -4280, -491, -20, 20, 20, -20]",chat
"[32, -32, 20, 790, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 808, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 832, -20, -332, -20, 20, 20, -20]",chat
"[32, 32, -32, 20, 947, -1444, 20, -1444, 20, -41, 32, -1444, 20, 20, -20]",chat
"[32, -32, 20, 794, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 337, -20, -2940, -1196, 20, -2940, -1196, -1480, 20, -1480, -1196, 20, -4400, 20, -4400, 20, -4400, 20, -2940, -344, -2940, -1196, -2940, -1196, -2940, -1196, 20, -14620, 20, -1480, -11700, 20, -2940, 20, -4400, 20, -2940, 20, -4400, 20, -4400, 20, -591, 20, -20, 20]",chat
"[32, -32, 20, 773, -20, -2860, -887, 20, 20, -20]",chat
"[32, -32, 20, 794, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]",chat
"[32, -32, 20, 764, -20, -558, -20, 20, 20, -20]",chat
"[32, -32, 20, 813, -20, -348, -20, 20, 20, -20]",chat
