five_tup,flow_pktlen
"['112.53.48.40', '10.208.8.65', 443, 53308, 6]","[-61, 392, -20, -400, 20, 183, -20, -158, 20, -61, 393, -20, -624, 20, -61, 393, -20, -624, 20, 425, -20, -110, 393, -400, 20, -61, 393, -1444, -80, 20, 183, -20, -174, 20, -61, 393, -20, -61, -1120, 20, 392, -20, -400, 20, -61, 392, -20, -624, 20, -61, 392, -656, 20, -61, 393, -688, 20, -61, 393, -688, 20, 167, -20, -174, 20, -61, 392, -20, -704, 20, -61, 393, -20, -1444, -32, 20, 167, -20, -158, 20, 183, -20, -158, 20, 151, -20, -174, 20, 167, -20, -174, 20, -61, 393, -20, -656, 20, -61, 393, -656, 20, 199, -20, -174, 20, 425, -20, -110, 393, -20, -2868, -32, 20, -61, 392, -20, -736, 20, -61, 393, -624, 20, -61, 393, -656, 20, -61, 393, -20, -1264, 20, -61, 393, -20, -784, 20, -61, 393, -20, -4292, -176, 20, -61, 393, -20, -624, 20, 199, -20, -174, 20, -61, 393, -20, -688, 20, -61, 393, -20, -1444, -848, 20, 183, -20, -174, 20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56379, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56380, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56387, 80, 6]","[32, -32, 20, 756, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56388, 80, 6]","[32, -32, 20, 812, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56389, 80, 6]","[32, -32, 20, 794, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56390, 80, 6]","[32, -32, 20, 811, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56391, 80, 6]","[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56393, 80, 6]","[32, -32, 20, 835, -20, -332, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56394, 80, 6]","[32, -32, 20, 800, -20, -348, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56395, 80, 6]","[32, -32, 20, 767, -20, -4280, -859, -20, 20, 20, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:8756:2cf2:19::6b', 56400, 80, 6]","[32, -32, 20, 818, -20, -348, -20, 20, 20, -20]"
