flow_pktlen,label
"[32, -24, 20, 1337, -20, -310, -20, 20, 20, -20]",video
"[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20]",video
"[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, 20, -20]",video
"[32, -32, 20, 124, -20, -362, -20, 20, 20, -20]",video
"[32, -32, 20, 550, -20, -364, -1480, -1480, -1480, -1480, -1480, -281, 20, -20, 20]",video
