five_tup,flow_pktlen
"['10.201.115.30', '121.224.103.189', 5681, 6681, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '114.234.196.198', 5681, 13490, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '121.238.60.111', 5681, 22362, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '58.216.193.110', 5681, 39918, 17]","[24, 24, 24]"
"['10.201.115.30', '49.77.240.58', 5681, 62452, 17]","[24, 24, -24]"
"['114.219.67.163', '10.201.115.30', 14083, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['58.221.4.226', '10.201.115.30', 33112, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['116.253.27.29', '10.201.115.30', 20001, 5681, 17]","[-643, -643, 16, 16, -611, -611, 16, 16, -619, 16, 17, -643, 16, -643, 16, -643, -643, 16, 16, -619, 16, -603, -603, 16, 16, -643, -643, 16, 16, 331, -250, -643, 16, -643, 16, -627, 16, -643, 16, -603, -603, 16, 16, 17, -643, -643, 16, 16, -635, -635, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -627, 16, -643, 16, -643, -643, 16, 16, -603, -603, 16, 16, -603, 16, -603, 16, -603, -603, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, 16, -619, 16, 17, -643, -643, 16, 16, -603, -603, 16, 16, -603, -603, 16, 16, -603, 16, -603, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -603, 16, -603, 16, -619, 16, -643, -643, 16, 16, -643, 16, -643, 16, -603, 16, -603, 16, -643, -643, 16, 16, -643, -643, 16, 16, -603, 16, -603, 16, 17, -643, -643, 16, 16, -643, -643, 16, 16, -627, 16, -643, 16, -643, 16, -643, -643, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -627, 16, -603, -603, 16, 16, -643, -643, 16, 16, -611, -611, 16, 16, 17, -619, 16, -643, -643, 16, 16, -643, -643, 16, 16, -603, -603, 16, 16, -611, -611, 16, 16, -619, 16, -643, -643, 16, 16, -643, -643, 16, 16, -603, 16, -603, 16, -611, 16, -611, 16, 17, -603, -603, 16, 16, -627, 16, -603, -603, 16, 16, -627, 16, -643, -643, 16, 16, 17, -619, 16, -603, -603, 16, 16, -643, -643, 16, 16, -635, 16, -619, 16, -611, -611, 16, 16, -603, 16, 17, -643, -643, 16, 16, -635, 16, -603, -603, 16, 16, -635, -635, 16, 16, -635, 16, -603, 16, -603, 16, -635, -635, 16, 16, 17, -643, -643, 16, 16, -619, 16, -603, -603, 16, 16, -635, -635, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -619, 16, 17, -643, 16, -643, -643, 16, 16, -635, -635, 16, 16, -611, 16, -611, 16, -643, -643, 16, 16, -643, -643, 16, 16, -603, 16, -603, 16, -643, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, 16, -611, -611, 16, 16, 17, -643, 16]"
"['10.201.115.30', '58.212.83.128', 5681, 17492, 17]","[24, -24, 24, 246, -24, -631, 24, 507, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, 1402, 1402, -28, 1402, -28, 1402, -28, 1402, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, 1402, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, 1402, 1402, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1394, -24, -24, -24, -24, -24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '180.117.152.191', 5681, 15029, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24]"
"['114.239.229.144', '10.201.115.30', 17265, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '112.84.181.150', 5681, 6086, 17]","[361, 24, 24, 24, 24, 24, 24, 361, 361, 24, 361, 24, 361, 24, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361]"
"['180.106.207.77', '10.201.115.30', 9860, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '49.65.188.253', 5681, 42006, 17]","[24, -24, 24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24, 24, 24, -24]"
