flow_pktlen,label
"[1202, 732, -20, -472, 20, 1203, 1460, 244, -32, -20, -472, 20, 1202, 909, -20, -471, 20]",web
"[21, -32]",web
"[-59, -44, -20, 20, 20, -20]",web
"[32, -28, 20, 22, 54, -20, -20, -868, 20, -20, 20]",web
"[32, -24, 20, 22, 54, -20, -20, -56, 20, -20, 20]",web
"[1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, 1460, 1135, -20, -20, -20, -20, -20, -20, -918, 1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, 1460, 312, -20, -20, -20, -20, -20, -20, -918, 20]",web
"[32, -32, 20, 537, -2740, -506, 20, 146, -278, 901, -20, -1380, -189, -1380, -189, -104, -54, 20, 783, -20, -942, 814, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -140, 20, 750, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -780, -1380, -189, 20, -1380, -189, -1380, 20, -189, -1341, -1380, -189, -957, 20, -1380, -189, -1380, -189, 20, -10900, -572, -1380, -189, -1380, -189, -1380, 20, -189, -1380, -189, 20, -1380, -189, -1380, -189, -1380, -73, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, 20, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, 20, -8180, 20, -19060, 20, -2740, 20, -19060, 20, -2740, 20, -4100, -324, 20, 762, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, 20, -1380, -189, -572, -1380, -189, -957, 20, -1380, -189, -1380, -189, -1380, -189, -1380, -189, 20, -1380, -189, -749, -1380, -189, -1380, -85, -1257, -1380, -189, -1380, -189, -1062, -54, 20, 1380, 98, -20, -751, 20]",web
"[32, -32, 20, 537, -1380, -1380, -506, 20, 146, -278, 20, 772, -1380, -189, -1380, -95, -54, 20, 812, -1380, -189, -1380, -189, -1380, -189, -145, -1380, 32, 20]",web
"[32, -32, 20, 537, -5860, -471, 20, 178, -71, 20]",web
"[32, -32, 20, 537, -161, 71, -20]",web
