five_tup,flow_pktlen
"['10.208.8.65', '20.189.173.13', 64874, 443, 6]","[1202, 732, -20, -472, 20, 1203, 1460, 244, -32, -20, -472, 20, 1202, 909, -20, -471, 20]"
"['2001:da8:1002:a000::6:a3cf', '2400:89c0:1053:3::51', 65357, 443, 6]","[21, -32]"
"['23.62.46.12', '10.208.8.65', 443, 65415, 6]","[-59, -44, -20, 20, 20, -20]"
"['10.208.8.65', '10.81.254.4', 65416, 53, 6]","[32, -28, 20, 22, 54, -20, -20, -868, 20, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65417, 53, 6]","[32, -24, 20, 22, 54, -20, -20, -56, 20, -20, 20]"
"['10.208.8.65', '20.42.73.24', 65390, 443, 6]","[1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, 1460, 1135, -20, -20, -20, -20, -20, -20, -918, 1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, 1460, 312, -20, -20, -20, -20, -20, -20, -918, 20]"
"['10.208.8.65', '59.111.105.199', 65421, 443, 6]","[32, -32, 20, 537, -2740, -506, 20, 146, -278, 901, -20, -1380, -189, -1380, -189, -104, -54, 20, 783, -20, -942, 814, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -140, 20, 750, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -780, -1380, -189, 20, -1380, -189, -1380, 20, -189, -1341, -1380, -189, -957, 20, -1380, -189, -1380, -189, 20, -10900, -572, -1380, -189, -1380, -189, -1380, 20, -189, -1380, -189, 20, -1380, -189, -1380, -189, -1380, -73, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, 20, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, 20, -8180, 20, -19060, 20, -2740, 20, -19060, 20, -2740, 20, -4100, -324, 20, 762, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, -1380, -189, 20, -1380, -189, -572, -1380, -189, -957, 20, -1380, -189, -1380, -189, -1380, -189, -1380, -189, 20, -1380, -189, -749, -1380, -189, -1380, -85, -1257, -1380, -189, -1380, -189, -1062, -54, 20, 1380, 98, -20, -751, 20]"
"['10.208.8.65', '59.111.105.199', 65422, 443, 6]","[32, -32, 20, 537, -1380, -1380, -506, 20, 146, -278, 20, 772, -1380, -189, -1380, -95, -54, 20, 812, -1380, -189, -1380, -189, -1380, -189, -145, -1380, 32, 20]"
"['10.208.8.65', '20.42.73.24', 65423, 443, 6]","[32, -32, 20, 537, -5860, -471, 20, 178, -71, 20]"
"['10.208.8.65', '59.111.105.199', 65424, 443, 6]","[32, -32, 20, 537, -161, 71, -20]"
"['10.208.8.65', '10.81.254.4', 65425, 53, 6]","[32, -28, 20, 22, 59, -20, -20, 20, -20, -61, 20, -20]"
"['10.208.8.65', '10.81.254.4', 65426, 53, 6]","[32, -24, 20, 22, 59, -20, -20, 20, -20, -61, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65427, 53, 6]","[32, -24, 20, 22, 59, -20, -20, 20, -20, -61, 20, -20]"
"['10.208.8.65', '59.111.35.2', 65431, 443, 6]","[32, -32, 20, 537, -20, -2940, -520, 20, 146, 723, -20, -310, -7320, -646, 20, -51, -20, 20, 20, 20]"
"['10.208.8.65', '10.81.254.4', 65432, 53, 6]","[32, -28, 20, 22, 55, -20, -20, -869, 20, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65433, 53, 6]","[32, -24, 20, 22, 55, -20, -20, -57, 20, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65434, 53, 6]","[32, -24, 20, 22, 55, -20, -20, -57, 20, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65435, 53, 6]","[32, -24, 20, 22, 60, -20, -20, 20, -20, -62, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65436, 53, 6]","[32, -24, 20, 22, 60, -20, -20, 20, -20, -62, -20, 20]"
"['10.208.8.65', '10.81.254.4', 65437, 53, 6]","[32, -24, 20, 22, 60, -20, -20, 20, -20, -62, -20, 20]"
